iMtlZSA,Mon, 30 Nov 2020 20:16:29 GMT,click,product_2,select product from dropdown
iMtlZSA,Mon, 30 Nov 2020 20:16:29 GMT,click,dice,get suggested comments
iMtlZSA,Mon, 30 Nov 2020 20:16:30 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:31 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:31 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:32 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:36 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:37 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:46 GMT,click,search_undefined,search a keyword
iMtlZSA,Mon, 30 Nov 2020 20:16:48 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:50 GMT,hover,comment_1560,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:16:51 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:52 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:53 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:16:57 GMT,click,comment_1537,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:16:58 GMT,click,comment_1698,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:16:59 GMT,click,comment_1608,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:16:59 GMT,click,comment_1493,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:17:00 GMT,click,comment_1445,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:17:00 GMT,hover,comment_1445,interact with a comment
iMtlZSA,Mon, 30 Nov 2020 20:17:00 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:01 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:02 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:05 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:05 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:12 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:20 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:21 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:21 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:22 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:22 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:23 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:27 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:27 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:28 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:32 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:32 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:34 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:34 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:35 GMT,click,bar_visitback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:36 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:39 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:39 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:39 GMT,hover,bar_distback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:40 GMT,click,bar_distback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:39 GMT,click,bar_visitback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:47 GMT,click,bar_distback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:49 GMT,hover,bar_coverback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:50 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:55 GMT,click,bar_coverback,clicked on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:56 GMT,hover,bar_visitback,hovered on metric bar
iMtlZSA,Mon, 30 Nov 2020 20:17:57 GMT,click,ngram_good sound,select an ngram
iMtlZSA,Mon, 30 Nov 2020 20:17:57 GMT,hover,bar_visitback,hovered on metric bar
