LFaHpwM,Mon, 18 Jan 2021 20:33:23 GMT,click,product_0,select product from dropdown
LFaHpwM,Mon, 18 Jan 2021 20:33:26 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:33:27 GMT,click,comment_394,interact with a comment
LFaHpwM,Mon, 18 Jan 2021 20:33:28 GMT,click,comment_346,interact with a comment
LFaHpwM,Mon, 18 Jan 2021 20:33:29 GMT,click,comment_502,interact with a comment
LFaHpwM,Mon, 18 Jan 2021 20:33:33 GMT,click,comment_615,interact with a comment
LFaHpwM,Mon, 18 Jan 2021 20:33:34 GMT,click,comment_465,interact with a comment
LFaHpwM,Mon, 18 Jan 2021 20:33:35 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:33:36 GMT,click,serencomment_443,interact with a suggested comment
LFaHpwM,Mon, 18 Jan 2021 20:33:37 GMT,click,serencomment_110,interact with a suggested comment
LFaHpwM,Mon, 18 Jan 2021 20:33:38 GMT,click,serencomment_130,interact with a suggested comment
LFaHpwM,Mon, 18 Jan 2021 20:34:13 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:14 GMT,click,ngram_great sound,select an ngram
LFaHpwM,Mon, 18 Jan 2021 20:34:16 GMT,click,ngram_good sound,select an ngram
LFaHpwM,Mon, 18 Jan 2021 20:34:22 GMT,click,ngram_sound quality,select an ngram
LFaHpwM,Mon, 18 Jan 2021 20:34:23 GMT,click,ngram_great price,select an ngram
LFaHpwM,Mon, 18 Jan 2021 20:34:35 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:35 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:35 GMT,hover,bar_coverback,hovered on metric bar
LFaHpwM,Mon, 18 Jan 2021 20:34:35 GMT,hover,bar_coverback,hovered on metric bar
